yearstart,yearend,locationabbr,locationdesc,datasource,topic,question,datavaluetype,stratificationcategory1,stratification1,locationid,topicid,questionid,datavaluetypeid,stratificationcategoryid1,stratificationid1
2017,2017,TX,Texas,SEDD; SID,Asthma,Hospitalizations for asthma,Age-adjusted Rate,Gender,Female,48,AST,AST3_1,AGEADJRATE,GENDER,GENF
2016,2016,VA,Virginia,SEDD; SID,Asthma,Hospitalizations for asthma,Number,Gender,Female,51,AST,AST3_1,NMBR,GENDER,GENF
2016,2016,VI,Virgin Islands,SEDD; SID,Asthma,Hospitalizations for asthma,Crude Rate,Race/Ethnicity,Hispanic,78,AST,AST3_1,CRDRATE,RACE,HIS
2020,2020,AL,Alabama,NVSS,Asthma,Asthma mortality rate,Number,Overall,Overall,01,AST,AST4_1,NMBR,OVERALL,OVR
2012,2012,AL,Alabama,NVSS,Asthma,Asthma mortality rate,Crude Rate,Gender,Female,01,AST,AST4_1,CRDRATE,GENDER,GENF
2015,2015,AL,Alabama,NVSS,Asthma,Asthma mortality rate,Number,Gender,Male,01,AST,AST4_1,NMBR,GENDER,GENM
2019,2019,AL,Alabama,NVSS,Asthma,Asthma mortality rate,Number,Gender,Male,01,AST,AST4_1,NMBR,GENDER,GENM
2010,2010,AR,Arkansas,NVSS,Asthma,Asthma mortality rate,Number,Gender,Female,05,AST,AST4_1,NMBR,GENDER,GENF
2017,2017,AR,Arkansas,NVSS,Asthma,Asthma mortality rate,Number,Overall,Overall,05,AST,AST4_1,NMBR,OVERALL,OVR
2020,2020,AZ,Arizona,NVSS,Asthma,Asthma mortality rate,Number,Race/Ethnicity,"White, non-Hispanic",04,AST,AST4_1,NMBR,RACE,WHT
2018,2018,AZ,Arizona,NVSS,Asthma,Asthma mortality rate,Number,Gender,Male,04,AST,AST4_1,NMBR,GENDER,GENM
2010,2010,CA,California,NVSS,Asthma,Asthma mortality rate,Number,Overall,Overall,06,AST,AST4_1,NMBR,OVERALL,OVR
2017,2017,CA,California,NVSS,Asthma,Asthma mortality rate,Number,Overall,Overall,06,AST,AST4_1,NMBR,OVERALL,OVR
2010,2010,CT,Connecticut,NVSS,Asthma,Asthma mortality rate,Number,Gender,Female,09,AST,AST4_1,NMBR,GENDER,GENF
2013,2013,CT,Connecticut,NVSS,Asthma,Asthma mortality rate,Number,Race/Ethnicity,Hispanic,09,AST,AST4_1,NMBR,RACE,HIS
2016,2016,DC,District of Columbia,NVSS,Asthma,Asthma mortality rate,Number,Gender,Male,11,AST,AST4_1,NMBR,GENDER,GENM
2015,2015,DE,Delaware,NVSS,Asthma,Asthma mortality rate,Number,Gender,Female,10,AST,AST4_1,NMBR,GENDER,GENF
2016,2016,DE,Delaware,NVSS,Asthma,Asthma mortality rate,Number,Gender,Female,10,AST,AST4_1,NMBR,GENDER,GENF
2018,2018,DE,Delaware,NVSS,Asthma,Asthma mortality rate,Crude Rate,Gender,Male,10,AST,AST4_1,CRDRATE,GENDER,GENM
2012,2012,FL,Florida,NVSS,Asthma,Asthma mortality rate,Number,Race/Ethnicity,Hispanic,12,AST,AST4_1,NMBR,RACE,HIS
2010,2010,GA,Georgia,NVSS,Asthma,Asthma mortality rate,Crude Rate,Gender,Female,13,AST,AST4_1,CRDRATE,GENDER,GENF
2013,2013,HI,Hawaii,NVSS,Asthma,Asthma mortality rate,Number,Overall,Overall,15,AST,AST4_1,NMBR,OVERALL,OVR
2013,2013,IA,Iowa,NVSS,Asthma,Asthma mortality rate,Number,Overall,Overall,19,AST,AST4_1,NMBR,OVERALL,OVR
2020,2020,ID,Idaho,NVSS,Asthma,Asthma mortality rate,Number,Overall,Overall,16,AST,AST4_1,NMBR,OVERALL,OVR
2010,2010,ID,Idaho,NVSS,Asthma,Asthma mortality rate,Number,Overall,Overall,16,AST,AST4_1,NMBR,OVERALL,OVR
2020,2020,IL,Illinois,NVSS,Asthma,Asthma mortality rate,Number,Gender,Female,17,AST,AST4_1,NMBR,GENDER,GENF
2012,2012,IN,Indiana,NVSS,Asthma,Asthma mortality rate,Number,Gender,Male,18,AST,AST4_1,NMBR,GENDER,GENM
2012,2012,KS,Kansas,NVSS,Asthma,Asthma mortality rate,Number,Race/Ethnicity,"White, non-Hispanic",20,AST,AST4_1,NMBR,RACE,WHT
2014,2014,KS,Kansas,NVSS,Asthma,Asthma mortality rate,Number,Gender,Female,20,AST,AST4_1,NMBR,GENDER,GENF
2017,2017,KS,Kansas,NVSS,Asthma,Asthma mortality rate,Number,Overall,Overall,20,AST,AST4_1,NMBR,OVERALL,OVR
2011,2011,KY,Kentucky,NVSS,Asthma,Asthma mortality rate,Number,Overall,Overall,21,AST,AST4_1,NMBR,OVERALL,OVR
2011,2011,LA,Louisiana,NVSS,Asthma,Asthma mortality rate,Number,Overall,Overall,22,AST,AST4_1,NMBR,OVERALL,OVR
2012,2012,LA,Louisiana,NVSS,Asthma,Asthma mortality rate,Number,Overall,Overall,22,AST,AST4_1,NMBR,OVERALL,OVR
2015,2015,LA,Louisiana,NVSS,Asthma,Asthma mortality rate,Number,Gender,Male,22,AST,AST4_1,NMBR,GENDER,GENM
2017,2017,LA,Louisiana,NVSS,Asthma,Asthma mortality rate,Number,Overall,Overall,22,AST,AST4_1,NMBR,OVERALL,OVR
2013,2013,MA,Massachusetts,NVSS,Asthma,Asthma mortality rate,Number,Race/Ethnicity,"White, non-Hispanic",25,AST,AST4_1,NMBR,RACE,WHT
2013,2013,MD,Maryland,NVSS,Asthma,Asthma mortality rate,Number,Gender,Female,24,AST,AST4_1,NMBR,GENDER,GENF
2014,2014,MD,Maryland,NVSS,Asthma,Asthma mortality rate,Number,Gender,Female,24,AST,AST4_1,NMBR,GENDER,GENF
2014,2014,MI,Michigan,NVSS,Asthma,Asthma mortality rate,Number,Gender,Female,26,AST,AST4_1,NMBR,GENDER,GENF
2015,2015,MI,Michigan,NVSS,Asthma,Asthma mortality rate,Number,Gender,Female,26,AST,AST4_1,NMBR,GENDER,GENF
2017,2017,MI,Michigan,NVSS,Asthma,Asthma mortality rate,Crude Rate,Gender,Male,26,AST,AST4_1,CRDRATE,GENDER,GENM
2010,2010,MO,Missouri,NVSS,Asthma,Asthma mortality rate,Number,Overall,Overall,29,AST,AST4_1,NMBR,OVERALL,OVR
2015,2015,MO,Missouri,NVSS,Asthma,Asthma mortality rate,Number,Gender,Male,29,AST,AST4_1,NMBR,GENDER,GENM
2012,2012,MT,Montana,NVSS,Asthma,Asthma mortality rate,Number,Gender,Male,30,AST,AST4_1,NMBR,GENDER,GENM
2013,2013,MT,Montana,NVSS,Asthma,Asthma mortality rate,Number,Race/Ethnicity,"Black, non-Hispanic",30,AST,AST4_1,NMBR,RACE,BLK
2017,2017,ND,North Dakota,NVSS,Asthma,Asthma mortality rate,Number,Gender,Male,38,AST,AST4_1,NMBR,GENDER,GENM
2013,2013,NE,Nebraska,NVSS,Asthma,Asthma mortality rate,Age-adjusted Rate,Race/Ethnicity,"White, non-Hispanic",31,AST,AST4_1,AGEADJRATE,RACE,WHT
2014,2014,NE,Nebraska,NVSS,Asthma,Asthma mortality rate,Number,Race/Ethnicity,"Black, non-Hispanic",31,AST,AST4_1,NMBR,RACE,BLK
2016,2016,NE,Nebraska,NVSS,Asthma,Asthma mortality rate,Number,Race/Ethnicity,Asian or Pacific Islander,31,AST,AST4_1,NMBR,RACE,API
2017,2017,NE,Nebraska,NVSS,Asthma,Asthma mortality rate,Age-adjusted Rate,Race/Ethnicity,"White, non-Hispanic",31,AST,AST4_1,AGEADJRATE,RACE,WHT
2011,2011,NJ,New Jersey,NVSS,Asthma,Asthma mortality rate,Number,Gender,Female,34,AST,AST4_1,NMBR,GENDER,GENF
2014,2014,NJ,New Jersey,NVSS,Asthma,Asthma mortality rate,Number,Overall,Overall,34,AST,AST4_1,NMBR,OVERALL,OVR
2013,2013,NM,New Mexico,NVSS,Asthma,Asthma mortality rate,Crude Rate,Gender,Male,35,AST,AST4_1,CRDRATE,GENDER,GENM
2017,2017,NM,New Mexico,NVSS,Asthma,Asthma mortality rate,Number,Gender,Female,35,AST,AST4_1,NMBR,GENDER,GENF
2018,2018,NM,New Mexico,NVSS,Asthma,Asthma mortality rate,Number,Overall,Overall,35,AST,AST4_1,NMBR,OVERALL,OVR
2010,2010,NV,Nevada,NVSS,Asthma,Asthma mortality rate,Crude Rate,Overall,Overall,32,AST,AST4_1,CRDRATE,OVERALL,OVR
2015,2015,NV,Nevada,NVSS,Asthma,Asthma mortality rate,Number,Overall,Overall,32,AST,AST4_1,NMBR,OVERALL,OVR
2016,2016,NV,Nevada,NVSS,Asthma,Asthma mortality rate,Number,Race/Ethnicity,Hispanic,32,AST,AST4_1,NMBR,RACE,HIS
2020,2020,NY,New York,NVSS,Asthma,Asthma mortality rate,Number,Race/Ethnicity,American Indian or Alaska Native,36,AST,AST4_1,NMBR,RACE,AIAN
2010,2010,NY,New York,NVSS,Asthma,Asthma mortality rate,Crude Rate,Race/Ethnicity,Hispanic,36,AST,AST4_1,CRDRATE,RACE,HIS
2013,2013,OH,Ohio,NVSS,Asthma,Asthma mortality rate,Number,Gender,Female,39,AST,AST4_1,NMBR,GENDER,GENF
2015,2015,OH,Ohio,NVSS,Asthma,Asthma mortality rate,Number,Gender,Female,39,AST,AST4_1,NMBR,GENDER,GENF
2020,2020,OK,Oklahoma,NVSS,Asthma,Asthma mortality rate,Crude Rate,Gender,Male,40,AST,AST4_1,CRDRATE,GENDER,GENM
2011,2011,OK,Oklahoma,NVSS,Asthma,Asthma mortality rate,Number,Race/Ethnicity,Hispanic,40,AST,AST4_1,NMBR,RACE,HIS
2014,2014,OK,Oklahoma,NVSS,Asthma,Asthma mortality rate,Number,Gender,Female,40,AST,AST4_1,NMBR,GENDER,GENF
2017,2017,OK,Oklahoma,NVSS,Asthma,Asthma mortality rate,Number,Gender,Female,40,AST,AST4_1,NMBR,GENDER,GENF
2017,2017,OR,Oregon,NVSS,Asthma,Asthma mortality rate,Number,Overall,Overall,41,AST,AST4_1,NMBR,OVERALL,OVR
2013,2013,PA,Pennsylvania,NVSS,Asthma,Asthma mortality rate,Number,Race/Ethnicity,"White, non-Hispanic",42,AST,AST4_1,NMBR,RACE,WHT
2016,2016,PA,Pennsylvania,NVSS,Asthma,Asthma mortality rate,Crude Rate,Overall,Overall,42,AST,AST4_1,CRDRATE,OVERALL,OVR
2012,2012,SC,South Carolina,NVSS,Asthma,Asthma mortality rate,Number,Race/Ethnicity,"Black, non-Hispanic",45,AST,AST4_1,NMBR,RACE,BLK
2011,2011,SD,South Dakota,NVSS,Asthma,Asthma mortality rate,Number,Race/Ethnicity,Hispanic,46,AST,AST4_1,NMBR,RACE,HIS
2011,2011,TN,Tennessee,NVSS,Asthma,Asthma mortality rate,Number,Gender,Male,47,AST,AST4_1,NMBR,GENDER,GENM
2013,2013,TN,Tennessee,NVSS,Asthma,Asthma mortality rate,Number,Race/Ethnicity,"Black, non-Hispanic",47,AST,AST4_1,NMBR,RACE,BLK
2018,2018,TN,Tennessee,NVSS,Asthma,Asthma mortality rate,Number,Overall,Overall,47,AST,AST4_1,NMBR,OVERALL,OVR
2012,2012,TX,Texas,NVSS,Asthma,Asthma mortality rate,Number,Gender,Male,48,AST,AST4_1,NMBR,GENDER,GENM
2019,2019,TX,Texas,NVSS,Asthma,Asthma mortality rate,Number,Gender,Male,48,AST,AST4_1,NMBR,GENDER,GENM
2017,2017,US,United States,NVSS,Asthma,Asthma mortality rate,Crude Rate,Overall,Overall,59,AST,AST4_1,CRDRATE,OVERALL,OVR
2011,2011,UT,Utah,NVSS,Asthma,Asthma mortality rate,Number,Gender,Female,49,AST,AST4_1,NMBR,GENDER,GENF
2014,2014,UT,Utah,NVSS,Asthma,Asthma mortality rate,Number,Gender,Male,49,AST,AST4_1,NMBR,GENDER,GENM
2010,2010,VA,Virginia,NVSS,Asthma,Asthma mortality rate,Number,Gender,Male,51,AST,AST4_1,NMBR,GENDER,GENM
2012,2012,VT,Vermont,NVSS,Asthma,Asthma mortality rate,Number,Race/Ethnicity,Asian or Pacific Islander,50,AST,AST4_1,NMBR,RACE,API
2014,2014,VT,Vermont,NVSS,Asthma,Asthma mortality rate,Number,Gender,Male,50,AST,AST4_1,NMBR,GENDER,GENM
2015,2015,VT,Vermont,NVSS,Asthma,Asthma mortality rate,Crude Rate,Gender,Female,50,AST,AST4_1,CRDRATE,GENDER,GENF
2017,2017,VT,Vermont,NVSS,Asthma,Asthma mortality rate,Number,Gender,Male,50,AST,AST4_1,NMBR,GENDER,GENM
2014,2014,WA,Washington,NVSS,Asthma,Asthma mortality rate,Number,Gender,Male,53,AST,AST4_1,NMBR,GENDER,GENM
2010,2010,WI,Wisconsin,NVSS,Asthma,Asthma mortality rate,Age-adjusted Rate,Gender,Female,55,AST,AST4_1,AGEADJRATE,GENDER,GENF
2019,2019,WI,Wisconsin,NVSS,Asthma,Asthma mortality rate,Age-adjusted Rate,Overall,Overall,55,AST,AST4_1,AGEADJRATE,OVERALL,OVR
2019,2019,WI,Wisconsin,NVSS,Asthma,Asthma mortality rate,Crude Rate,Gender,Male,55,AST,AST4_1,CRDRATE,GENDER,GENM
2020,2020,WV,West Virginia,NVSS,Asthma,Asthma mortality rate,Number,Gender,Female,54,AST,AST4_1,NMBR,GENDER,GENF
2017,2017,WV,West Virginia,NVSS,Asthma,Asthma mortality rate,Crude Rate,Race/Ethnicity,"White, non-Hispanic",54,AST,AST4_1,CRDRATE,RACE,WHT
2020,2020,WY,Wyoming,NVSS,Asthma,Asthma mortality rate,Number,Gender,Female,56,AST,AST4_1,NMBR,GENDER,GENF
2011,2011,WY,Wyoming,NVSS,Asthma,Asthma mortality rate,Number,Race/Ethnicity,American Indian or Alaska Native,56,AST,AST4_1,NMBR,RACE,AIAN
2013,2013,WY,Wyoming,NVSS,Asthma,Asthma mortality rate,Number,Gender,Female,56,AST,AST4_1,NMBR,GENDER,GENF
2014,2014,WY,Wyoming,NVSS,Asthma,Asthma mortality rate,Crude Rate,Overall,Overall,56,AST,AST4_1,CRDRATE,OVERALL,OVR
2013,2017,AK,Alaska,Statewide central cancer registries,Cancer,"Invasive cancer of the oral cavity or pharynx, incidence",Average Annual Number,Gender,Male,02,CAN,CAN10_1,AVGANNNMBR,GENDER,GENM
2014,2018,AK,Alaska,Statewide central cancer registries,Cancer,"Invasive cancer of the oral cavity or pharynx, incidence",Average Annual Number,Overall,Overall,02,CAN,CAN10_1,AVGANNNMBR,OVERALL,OVR
2009,2013,CT,Connecticut,Statewide central cancer registries,Cancer,"Invasive cancer of the oral cavity or pharynx, incidence",Average Annual Number,Gender,Male,09,CAN,CAN10_1,AVGANNNMBR,GENDER,GENM
2014,2018,CT,Connecticut,Statewide central cancer registries,Cancer,"Invasive cancer of the oral cavity or pharynx, incidence",Average Annual Number,Race/Ethnicity,Hispanic,09,CAN,CAN10_1,AVGANNNMBR,RACE,HIS
2008,2012,DC,District of Columbia,Statewide central cancer registries,Cancer,"Invasive cancer of the oral cavity or pharynx, incidence",Average Annual Number,Overall,Overall,11,CAN,CAN10_1,AVGANNNMBR,OVERALL,OVR
2008,2012,HI,Hawaii,Statewide central cancer registries,Cancer,"Invasive cancer of the oral cavity or pharynx, incidence",Average Annual Number,Gender,Female,15,CAN,CAN10_1,AVGANNNMBR,GENDER,GENF
2012,2016,ID,Idaho,Statewide central cancer registries,Cancer,"Invasive cancer of the oral cavity or pharynx, incidence",Average Annual Number,Gender,Male,16,CAN,CAN10_1,AVGANNNMBR,GENDER,GENM
2013,2017,KY,Kentucky,Statewide central cancer registries,Cancer,"Invasive cancer of the oral cavity or pharynx, incidence",Average Annual Number,Gender,Male,21,CAN,CAN10_1,AVGANNNMBR,GENDER,GENM
2010,2014,LA,Louisiana,Statewide central cancer registries,Cancer,"Invasive cancer of the oral cavity or pharynx, incidence",Average Annual Number,Gender,Female,22,CAN,CAN10_1,AVGANNNMBR,GENDER,GENF
2012,2016,LA,Louisiana,Statewide central cancer registries,Cancer,"Invasive cancer of the oral cavity or pharynx, incidence",Average Annual Number,Gender,Female,22,CAN,CAN10_1,AVGANNNMBR,GENDER,GENF
2014,2018,LA,Louisiana,Statewide central cancer registries,Cancer,"Invasive cancer of the oral cavity or pharynx, incidence",Average Annual Number,Race/Ethnicity,Asian or Pacific Islander,22,CAN,CAN10_1,AVGANNNMBR,RACE,APIO
2012,2016,MA,Massachusetts,Statewide central cancer registries,Cancer,"Invasive cancer of the oral cavity or pharynx, incidence",Average Annual Number,Gender,Male,25,CAN,CAN10_1,AVGANNNMBR,GENDER,GENM
2008,2012,NH,New Hampshire,Statewide central cancer registries,Cancer,"Invasive cancer of the oral cavity or pharynx, incidence",Average Annual Number,Gender,Male,33,CAN,CAN10_1,AVGANNNMBR,GENDER,GENM
2014,2018,NM,New Mexico,Statewide central cancer registries,Cancer,"Invasive cancer of the oral cavity or pharynx, incidence",Average Annual Number,Gender,Female,35,CAN,CAN10_1,AVGANNNMBR,GENDER,GENF
2011,2015,OK,Oklahoma,Statewide central cancer registries,Cancer,"Invasive cancer of the oral cavity or pharynx, incidence",Average Annual Number,Overall,Overall,40,CAN,CAN10_1,AVGANNNMBR,OVERALL,OVR
2011,2015,PA,Pennsylvania,Statewide central cancer registries,Cancer,"Invasive cancer of the oral cavity or pharynx, incidence",Average Annual Number,Gender,Male,42,CAN,CAN10_1,AVGANNNMBR,GENDER,GENM
2012,2016,PA,Pennsylvania,Statewide central cancer registries,Cancer,"Invasive cancer of the oral cavity or pharynx, incidence",Average Annual Number,Gender,Male,42,CAN,CAN10_1,AVGANNNMBR,GENDER,GENM
2010,2014,IL,Illinois,Death Certificate,Cancer,"Cancer of the oral cavity and pharynx, mortality",Average Annual Number,Gender,Female,17,CAN,CAN10_2,AVGANNNMBR,GENDER,GENF
2012,2016,MN,Minnesota,Death Certificate,Cancer,"Cancer of the oral cavity and pharynx, mortality",Average Annual Number,Overall,Overall,27,CAN,CAN10_2,AVGANNNMBR,OVERALL,OVR
2009,2013,NC,North Carolina,Death Certificate,Cancer,"Cancer of the oral cavity and pharynx, mortality",Average Annual Number,Gender,Male,37,CAN,CAN10_2,AVGANNNMBR,GENDER,GENM
2009,2013,ND,North Dakota,Death Certificate,Cancer,"Cancer of the oral cavity and pharynx, mortality",Average Annual Number,Overall,Overall,38,CAN,CAN10_2,AVGANNNMBR,OVERALL,OVR
2010,2014,SC,South Carolina,Death Certificate,Cancer,"Cancer of the oral cavity and pharynx, mortality",Average Annual Number,Gender,Male,45,CAN,CAN10_2,AVGANNNMBR,GENDER,GENM
2011,2015,SC,South Carolina,Death Certificate,Cancer,"Cancer of the oral cavity and pharynx, mortality",Average Annual Number,Gender,Male,45,CAN,CAN10_2,AVGANNNMBR,GENDER,GENM
2012,2016,SC,South Carolina,Death Certificate,Cancer,"Cancer of the oral cavity and pharynx, mortality",Average Annual Number,Gender,Female,45,CAN,CAN10_2,AVGANNNMBR,GENDER,GENF
2013,2017,SC,South Carolina,Death Certificate,Cancer,"Cancer of the oral cavity and pharynx, mortality",Average Annual Number,Gender,Female,45,CAN,CAN10_2,AVGANNNMBR,GENDER,GENF
2014,2018,SC,South Carolina,Death Certificate,Cancer,"Cancer of the oral cavity and pharynx, mortality",Average Annual Number,Race/Ethnicity,"White, non-Hispanic",45,CAN,CAN10_2,AVGANNNMBR,RACE,WHT
2015,2019,SC,South Carolina,Death Certificate,Cancer,"Cancer of the oral cavity and pharynx, mortality",Average Annual Crude Rate,Gender,Female,45,CAN,CAN10_2,AVGANNCRDRATE,GENDER,GENF
2008,2012,SD,South Dakota,Death Certificate,Cancer,"Cancer of the oral cavity and pharynx, mortality",Average Annual Number,Gender,Female,46,CAN,CAN10_2,AVGANNNMBR,GENDER,GENF
2009,2013,SD,South Dakota,Death Certificate,Cancer,"Cancer of the oral cavity and pharynx, mortality",Average Annual Number,Gender,Female,46,CAN,CAN10_2,AVGANNNMBR,GENDER,GENF
2013,2017,US,United States,Death Certificate,Cancer,"Cancer of the oral cavity and pharynx, mortality",Average Annual Number,Overall,Overall,59,CAN,CAN10_2,AVGANNNMBR,OVERALL,OVR
2014,2018,US,United States,Death Certificate,Cancer,"Cancer of the oral cavity and pharynx, mortality",Average Annual Number,Gender,Male,59,CAN,CAN10_2,AVGANNNMBR,GENDER,GENM
2015,2019,US,United States,Death Certificate,Cancer,"Cancer of the oral cavity and pharynx, mortality",Average Annual Number,Race/Ethnicity,"Black, non-Hispanic",59,CAN,CAN10_2,AVGANNNMBR,RACE,BLK
2015,2019,VA,Virginia,Death Certificate,Cancer,"Cancer of the oral cavity and pharynx, mortality",Average Annual Number,Gender,Female,51,CAN,CAN10_2,AVGANNNMBR,GENDER,GENF
2011,2015,WV,West Virginia,Death Certificate,Cancer,"Cancer of the oral cavity and pharynx, mortality",Average Annual Number,Gender,Male,54,CAN,CAN10_2,AVGANNNMBR,GENDER,GENM
2008,2012,AL,Alabama,Statewide central cancer registries,Cancer,"Invasive cancer of the prostate, incidence",Average Annual Number,Gender,Male,01,CAN,CAN11_1,AVGANNNMBR,GENDER,GENM
2015,2019,AZ,Arizona,Statewide central cancer registries,Cancer,"Invasive cancer of the prostate, incidence",Average Annual Number,Gender,Male,04,CAN,CAN11_1,AVGANNNMBR,GENDER,GENM
2010,2014,CA,California,Statewide central cancer registries,Cancer,"Invasive cancer of the prostate, incidence",Average Annual Number,Gender,Male,06,CAN,CAN11_1,AVGANNNMBR,GENDER,GENM
2010,2014,CT,Connecticut,Statewide central cancer registries,Cancer,"Invasive cancer of the prostate, incidence",Average Annual Number,Race/Ethnicity,"Black, non-Hispanic",09,CAN,CAN11_1,AVGANNNMBR,RACE,BLK
2010,2014,DC,District of Columbia,Statewide central cancer registries,Cancer,"Invasive cancer of the prostate, incidence",Average Annual Number,Overall,Overall,11,CAN,CAN11_1,AVGANNNMBR,OVERALL,OVR
2014,2018,DC,District of Columbia,Statewide central cancer registries,Cancer,"Invasive cancer of the prostate, incidence",Average Annual Number,Overall,Overall,11,CAN,CAN11_1,AVGANNNMBR,OVERALL,OVR
2012,2016,DE,Delaware,Statewide central cancer registries,Cancer,"Invasive cancer of the prostate, incidence",Average Annual Number,Gender,Male,10,CAN,CAN11_1,AVGANNNMBR,GENDER,GENM
2013,2017,DE,Delaware,Statewide central cancer registries,Cancer,"Invasive cancer of the prostate, incidence",Average Annual Number,Race/Ethnicity,Hispanic,10,CAN,CAN11_1,AVGANNNMBR,RACE,HIS
2009,2013,HI,Hawaii,Statewide central cancer registries,Cancer,"Invasive cancer of the prostate, incidence",Average Annual Number,Gender,Male,15,CAN,CAN11_1,AVGANNNMBR,GENDER,GENM
2010,2014,HI,Hawaii,Statewide central cancer registries,Cancer,"Invasive cancer of the prostate, incidence",Average Annual Number,Race/Ethnicity,Asian or Pacific Islander,15,CAN,CAN11_1,AVGANNNMBR,RACE,APIO
2008,2012,IL,Illinois,Statewide central cancer registries,Cancer,"Invasive cancer of the prostate, incidence",Average Annual Number,Gender,Male,17,CAN,CAN11_1,AVGANNNMBR,GENDER,GENM
2014,2018,IL,Illinois,Statewide central cancer registries,Cancer,"Invasive cancer of the prostate, incidence",Average Annual Crude Rate,Gender,Male,17,CAN,CAN11_1,AVGANNCRDRATE,GENDER,GENM
2013,2017,IN,Indiana,Statewide central cancer registries,Cancer,"Invasive cancer of the prostate, incidence",Average Annual Number,Race/Ethnicity,"Black, non-Hispanic",18,CAN,CAN11_1,AVGANNNMBR,RACE,BLK
2014,2018,IN,Indiana,Statewide central cancer registries,Cancer,"Invasive cancer of the prostate, incidence",Average Annual Crude Rate,Overall,Overall,18,CAN,CAN11_1,AVGANNCRDRATE,OVERALL,OVR
2015,2019,IN,Indiana,Statewide central cancer registries,Cancer,"Invasive cancer of the prostate, incidence",Average Annual Number,Race/Ethnicity,Asian or Pacific Islander,18,CAN,CAN11_1,AVGANNNMBR,RACE,APIO
2008,2012,KY,Kentucky,Statewide central cancer registries,Cancer,"Invasive cancer of the prostate, incidence",Average Annual Number,Race/Ethnicity,Hispanic,21,CAN,CAN11_1,AVGANNNMBR,RACE,HIS
2008,2012,MA,Massachusetts,Statewide central cancer registries,Cancer,"Invasive cancer of the prostate, incidence",Average Annual Number,Overall,Overall,25,CAN,CAN11_1,AVGANNNMBR,OVERALL,OVR
2011,2015,MA,Massachusetts,Statewide central cancer registries,Cancer,"Invasive cancer of the prostate, incidence",Average Annual Number,Gender,Male,25,CAN,CAN11_1,AVGANNNMBR,GENDER,GENM
2014,2018,MA,Massachusetts,Statewide central cancer registries,Cancer,"Invasive cancer of the prostate, incidence",Average Annual Number,Gender,Male,25,CAN,CAN11_1,AVGANNNMBR,GENDER,GENM
2015,2019,MD,Maryland,Statewide central cancer registries,Cancer,"Invasive cancer of the prostate, incidence",Average Annual Number,Gender,Male,24,CAN,CAN11_1,AVGANNNMBR,GENDER,GENM
2014,2018,ME,Maine,Statewide central cancer registries,Cancer,"Invasive cancer of the prostate, incidence",Average Annual Number,Overall,Overall,23,CAN,CAN11_1,AVGANNNMBR,OVERALL,OVR
2012,2016,MS,Mississippi,Statewide central cancer registries,Cancer,"Invasive cancer of the prostate, incidence",Average Annual Number,Gender,Male,28,CAN,CAN11_1,AVGANNNMBR,GENDER,GENM
2014,2018,MS,Mississippi,Statewide central cancer registries,Cancer,"Invasive cancer of the prostate, incidence",Average Annual Number,Overall,Overall,28,CAN,CAN11_1,AVGANNNMBR,OVERALL,OVR
2015,2019,MS,Mississippi,Statewide central cancer registries,Cancer,"Invasive cancer of the prostate, incidence",Average Annual Number,Race/Ethnicity,Hispanic,28,CAN,CAN11_1,AVGANNNMBR,RACE,HIS
2015,2019,MT,Montana,Statewide central cancer registries,Cancer,"Invasive cancer of the prostate, incidence",Average Annual Number,Race/Ethnicity,Hispanic,30,CAN,CAN11_1,AVGANNNMBR,RACE,HIS
2010,2014,ND,North Dakota,Statewide central cancer registries,Cancer,"Invasive cancer of the prostate, incidence",Average Annual Number,Gender,Male,38,CAN,CAN11_1,AVGANNNMBR,GENDER,GENM
2011,2015,NJ,New Jersey,Statewide central cancer registries,Cancer,"Invasive cancer of the prostate, incidence",Average Annual Number,Gender,Male,34,CAN,CAN11_1,AVGANNNMBR,GENDER,GENM
2008,2012,NM,New Mexico,Statewide central cancer registries,Cancer,"Invasive cancer of the prostate, incidence",Average Annual Number,Gender,Male,35,CAN,CAN11_1,AVGANNNMBR,GENDER,GENM
2009,2013,NM,New Mexico,Statewide central cancer registries,Cancer,"Invasive cancer of the prostate, incidence",Average Annual Number,Race/Ethnicity,"Black, non-Hispanic",35,CAN,CAN11_1,AVGANNNMBR,RACE,BLK
2012,2016,NM,New Mexico,Statewide central cancer registries,Cancer,"Invasive cancer of the prostate, incidence",Average Annual Number,Gender,Male,35,CAN,CAN11_1,AVGANNNMBR,GENDER,GENM
2014,2018,NM,New Mexico,Statewide central cancer registries,Cancer,"Invasive cancer of the prostate, incidence",Average Annual Number,Race/Ethnicity,Hispanic,35,CAN,CAN11_1,AVGANNNMBR,RACE,HIS
2010,2014,SC,South Carolina,Statewide central cancer registries,Cancer,"Invasive cancer of the prostate, incidence",Average Annual Number,Overall,Overall,45,CAN,CAN11_1,AVGANNNMBR,OVERALL,OVR
2008,2012,SD,South Dakota,Statewide central cancer registries,Cancer,"Invasive cancer of the prostate, incidence",Average Annual Number,Gender,Male,46,CAN,CAN11_1,AVGANNNMBR,GENDER,GENM
2009,2013,SD,South Dakota,Statewide central cancer registries,Cancer,"Invasive cancer of the prostate, incidence",Average Annual Number,Overall,Overall,46,CAN,CAN11_1,AVGANNNMBR,OVERALL,OVR
